GAMECODE,GAME_ID,SEASON
20180123/NYKGSW,21700699,2017
20180123/BOSLAL,21700700,2017
20180124/NOPCHA,21700701,2017
20180124/UTADET,21700702,2017
20180124/PHXIND,21700703,2017
20180124/CHIPHI,21700704,2017
20180124/TORATL,21700705,2017
20180124/HOUDAL,21700706,2017
20180124/SASMEM,21700707,2017
20180124/MINPOR,21700708,2017
20180124/BOSLAC,21700709,2017
20180125/SACMIA,21700710,2017
20180125/WASOKC,21700711,2017
20180125/NYKDEN,21700712,2017
20180125/MINGSW,21700713,2017
20180126/ATLCHA,21700714,2017
20180126/INDCLE,21700715,2017
20180126/UTATOR,21700716,2017
20180126/LALCHI,21700717,2017
20180126/LACMEM,21700718,2017
20180126/BKNMIL,21700719,2017
20180126/HOUNOP,21700720,2017
20180126/PORDAL,21700721,2017
